page_code,page_number,domain_ID,book_components,part,topic,table_name
pc0214,196,06,本編,行政,財政,市歳出経常部決算2-2
pc0215,197,06,本編,行政,財政,市歳出経常部決算2-2
pc0216,198,06,本編,行政,財政,市歳出経常部決算2-3
pc0217,199,06,本編,行政,財政,市歳出経常部決算2-3
pc0218,200,06,本編,行政,財政,市歳出経常部決算2-4
pc0219,201,06,本編,行政,財政,市歳出経常部決算2-4
pc0220,202,06,本編,行政,財政,市歳出臨時部決算2-1
pc0221,203,06,本編,行政,財政,市歳出臨時部決算2-1
pc0222,204,06,本編,行政,財政,市歳出臨時部決算2-2
pc0223,205,06,本編,行政,財政,市歳出臨時部決算2-2
pc0224,206,06,本編,行政,財政,市歳出臨時部決算2-3
pc0225,207,06,本編,行政,財政,市歳出臨時部決算2-3
pc0226,208,06,本編,行政,財政,市歳出決算3-1
pc0227,209,06,本編,行政,財政,市歳出決算3-1
pc0228,210,06,本編,行政,財政,市歳出決算3-1
pc0229,211,06,本編,行政,財政,市歳出決算3-2
pc0230,212,06,本編,行政,財政,市歳出決算3-2
pc0231,213,06,本編,行政,財政,市歳出決算3-2
pc0232,214,06,本編,行政,財政,市歳出決算3-3
pc0233,215,06,本編,行政,財政,市歳出決算3-3
pc0234,216,06,本編,行政,財政,市歳出決算3-3
pc0235,217,06,本編,行政,財政,市歳出決算3-4
pc0236,218,06,本編,行政,財政,市歳出決算3-4
pc0237,219,06,本編,行政,財政,市歳出決算3-4
pc0238,220,06,本編,行政,財政,市歳出決算4-1
pc0239,221,06,本編,行政,財政,市歳出決算4-1
pc0240,222,06,本編,行政,財政,市歳出決算4-1
pc0241,223,06,本編,行政,財政,市歳出決算4-2
pc0242,224,06,本編,行政,財政,市歳出決算4-2
pc0243,225,06,本編,行政,財政,市歳出決算4-2
pc0244,226,06,本編,行政,財政,市歳出決算4-3
pc0245,227,06,本編,行政,財政,市歳出決算4-3
pc0246,228,06,本編,行政,財政,市歳出決算4-3
pc0247,229,06,本編,行政,財政,市歳出決算4-4
pc0248,230,06,本編,行政,財政,市歳出決算4-4
pc0249,231,06,本編,行政,財政,市歳出決算4-4
