table_id,page_number,table_name
TBL-0063,214,市歳出決算3-3(昭和23-38)
TBL-0063,215,市歳出決算3-3(昭和23-38)
TBL-0063,216,市歳出決算3-3(昭和23-38)
TBL-0064,217,市歳出決算3-4(昭和23-38)
TBL-0064,218,市歳出決算3-4(昭和23-38)
TBL-0064,219,市歳出決算3-4(昭和23-38)
TBL-0065,220,市歳出決算4-1(昭和39-55)
TBL-0065,221,市歳出決算4-1(昭和39-55)
TBL-0065,222,市歳出決算4-1(昭和39-55)
TBL-0066,223,市歳出決算4-2(昭和39-55)
TBL-0066,224,市歳出決算4-2(昭和39-55)
TBL-0066,225,市歳出決算4-2(昭和39-55)
TBL-0067,226,市歳出決算4-3(昭和39-55)
TBL-0067,227,市歳出決算4-3(昭和39-55)
TBL-0067,228,市歳出決算4-3(昭和39-55)
TBL-0068,229,市歳出決算4-4(昭和39-55)
TBL-0068,230,市歳出決算4-4(昭和39-55)
TBL-0068,231,市歳出決算4-4(昭和39-55)
TBL-0069,232,市歳出決算4-5(昭和39-55)
TBL-0069,233,市歳出決算4-5(昭和39-55)
TBL-0069,234,市歳出決算4-5(昭和39-55)
TBL-0070,235,市歳出決算4-6(昭和39-55)
TBL-0070,236,市歳出決算4-6(昭和39-55)
TBL-0070,237,市歳出決算4-6(昭和39-55)
TBL-0071-01,238,区・市特別会計歳入歳出決算_行在所建築諸費(明治14)
TBL-0071-02,238,区・市特別会計歳入歳出決算_学校建築費(明治14)
TBL-0071-03,238,区・市特別会計歳入歳出決算_公立小学校地地平均費(明治16)
TBL-0071-04,238,区・市特別会計歳入歳出決算_宝小学校教場増築費(明治16)
TBL-0071-05,238,区・市特別会計歳入歳出決算_幸小学校新築費(明治16)
TBL-0071-06,238,区・市特別会計歳入歳出決算_住吉小学校新築費(明治16-17)
TBL-0071-07,238,区・市特別会計歳入歳出決算_高砂、東川小学校改築費(明治17)
TBL-0071-08,238,区・市特別会計歳入歳出決算_井戸新鑿修繕費(明治16-18)
TBL-0071-09,239,区・市特別会計歳入歳出決算_小学校補助金(明治15-19)
TBL-0071-10,239,区・市特別会計歳入歳出決算_窮民救護費(明治16-18)
TBL-0071-11,239,区・市特別会計歳入歳出決算_公園費(明治16-20)
TBL-0071-12,239,区・市特別会計歳入歳出決算_共有火葬及葬儀場建築費(明治22)
TBL-0072,240,区内共有金1(明治14-29)
TBL-0073,240,会社銀行年賦寄付金(弥生小学校建築費)(明治16-22)
TBL-0072,241,区内共有金1(明治14-29)
TBL-0073,241,会社銀行年賦寄付金(弥生小学校建築費)(明治16-22)
TBL-0074,242,区内共有金2(明治40-大正8)
TBL-0075,242,備荒貯蓄金(明治23-32)
TBL-0074,243,区内共有金2(明治40-大正8)
TBL-0075,243,備荒貯蓄金(明治23-32)
TBL-0076,244,教育蓄積金・公立小学校費・函館女学校費(明治19-32)
TBL-0076,245,教育蓄積金・公立小学校費・函館女学校費(明治19-32)
TBL-0077,246,共有基本金(明治21-43)
