page_number,sum_id,participant_id,annotation_id,analysis_code,code_group
78,003,P01,ANN-0056,C011,F
78,003,P03,ANN-0057,C014,F
78,003,P03,ANN-0058,C017,
78,003,P01,ANN-0059,C011,F
78,003,P03,ANN-0060,C003,A
78,003,P03,ANN-0061,C003,A
78,003,P03,ANN-0062,C003,A
78,003,P03,ANN-0063,C009,D
78,003,P01,ANN-0064,C004,D
78,003,P01,ANN-0065,C012,
78,003,P01,ANN-0066,C042,F
78,003,P02,ANN-0067,C002,A
78,003,P01,ANN-0068,C007,D
78,003,P01,ANN-0069,C014,F
78,003,P01,ANN-0070,C042,F
78,003,P01,ANN-0071,C014,F
78,003,P01,ANN-0072,C010,
78,003,P01,ANN-0073,C018,K
1102,009,P02,ANN-0074,C019,F
1102,009,P03,ANN-0075,C033,
1102,009,P04,ANN-0076,C034,F
1102,009,P03,ANN-0077,C035,J
1102,009,P03,ANN-0078,C036,G
1102,009,P03,ANN-0079,C012,
1102,009,P03,ANN-0080,C037,
1102,009,P03,ANN-0081,C035,J
1102,009,P04,ANN-0082,C018,K
1102,009,P02,ANN-0083,C012,
1103,009,P02,ANN-0084,C033,
1103,009,P03,ANN-0085,C038,F
1103,009,P02,ANN-0086,C038,F
1103,009,P03,ANN-0087,C015,J
1103,009,P04,ANN-0088,C039,I
1103,009,P02,ANN-0089,C010,
1103,009,P03,ANN-0090,C038,F
1103,009,P04,ANN-0091,C025,B
1103,009,P04,ANN-0092,C010,
1103,009,P02,ANN-0093,C010,
1103,009,P02,ANN-0094,C035,J
1102,009,P04,ANN-0095,C021,
1102,009,P03,ANN-0096,C020,D
1103,009,P03,ANN-0097,C019,F
1103,009,P03,ANN-0098,C040,F
381,010,P04,ANN-0099,C040,F
379,010,P04,ANN-0100,C033,
385,010,P04,ANN-0101,C033,
391,010,P04,ANN-0102,C012,
